Game Number,Button Hand 1,Button Hand 2,Small Blind Hand 1,Small Blind Hand 2,Big Blind Hand 1,Big Blind Hand 2,UTG Hand 1,UTG Hand 2,UTG+1 Hand 1,UTG+1 Hand 2,Community Card 1,Community Card 2,Community Card 3,Community Card 4,Community Card 5
242,J of Clubs,6 of Diamonds,A of Spades,A of Diamonds,K of Spades,6 of Clubs,J of Spades,8 of Clubs,7 of Diamonds,2 of Clubs,5 of Diamonds,K of Diamonds,A of Hearts,9 of Hearts,10 of Diamonds
243,8 of Hearts,K of Diamonds,9 of Spades,J of Diamonds,A of Clubs,7 of Spades,6 of Clubs,A of Hearts,J of Hearts,9 of Diamonds,K of Spades,J of Clubs,2 of Diamonds,3 of Hearts,2 of Spades
244,J of Spades,2 of Clubs,A of Clubs,5 of Diamonds,K of Diamonds,7 of Hearts,8 of Hearts,2 of Diamonds,3 of Hearts,5 of Hearts,9 of Clubs,10 of Clubs,10 of Diamonds,K of Spades,9 of Diamonds
245,Q of Spades,5 of Diamonds,J of Diamonds,7 of Spades,10 of Hearts,4 of Diamonds,A of Clubs,Q of Hearts,2 of Spades,Q of Diamonds,6 of Spades,6 of Hearts,10 of Diamonds,8 of Spades,3 of Spades
246,4 of Spades,4 of Hearts,2 of Spades,J of Spades,10 of Spades,J of Hearts,3 of Spades,Q of Clubs,8 of Hearts,8 of Clubs,A of Spades,J of Clubs,2 of Clubs,7 of Diamonds,3 of Hearts
247,K of Clubs,6 of Spades,9 of Clubs,5 of Hearts,3 of Hearts,8 of Hearts,A of Diamonds,A of Clubs,7 of Clubs,J of Spades,5 of Clubs,5 of Diamonds,4 of Hearts,4 of Clubs,7 of Diamonds
248,A of Clubs,6 of Hearts,A of Hearts,10 of Spades,9 of Spades,6 of Spades,3 of Diamonds,2 of Hearts,Q of Spades,8 of Hearts,7 of Spades,7 of Hearts,10 of Hearts,2 of Clubs,J of Clubs
249,5 of Diamonds,J of Hearts,A of Diamonds,9 of Hearts,5 of Hearts,3 of Spades,3 of Clubs,Q of Hearts,4 of Spades,2 of Clubs,7 of Hearts,Q of Clubs,J of Spades,A of Hearts,8 of Spades
250,8 of Hearts,3 of Spades,3 of Clubs,8 of Diamonds,5 of Clubs,K of Spades,6 of Hearts,9 of Spades,7 of Clubs,K of Clubs,8 of Spades,5 of Hearts,4 of Spades,2 of Hearts,9 of Hearts
251,8 of Hearts,J of Spades,6 of Clubs,5 of Clubs,Q of Spades,K of Diamonds,3 of Spades,6 of Hearts,A of Clubs,9 of Clubs,3 of Clubs,4 of Clubs,8 of Spades,A of Diamonds,K of Hearts
252,K of Hearts,10 of Diamonds,2 of Diamonds,2 of Hearts,4 of Clubs,3 of Diamonds,K of Diamonds,7 of Spades,6 of Hearts,2 of Spades,Q of Spades,J of Clubs,3 of Spades,Q of Diamonds,2 of Clubs
253,10 of Hearts,10 of Diamonds,9 of Spades,3 of Diamonds,2 of Clubs,8 of Diamonds,8 of Clubs,7 of Clubs,6 of Hearts,7 of Diamonds,2 of Spades,J of Clubs,5 of Hearts,3 of Hearts,9 of Diamonds
254,4 of Clubs,4 of Spades,9 of Diamonds,6 of Clubs,7 of Spades,K of Hearts,5 of Spades,5 of Hearts,7 of Clubs,10 of Clubs,K of Diamonds,8 of Hearts,5 of Clubs,2 of Spades,J of Spades
255,2 of Clubs,7 of Clubs,9 of Hearts,Q of Clubs,6 of Clubs,2 of Diamonds,4 of Hearts,J of Spades,Q of Hearts,7 of Hearts,J of Hearts,2 of Spades,A of Spades,3 of Spades,K of Clubs
256,10 of Clubs,7 of Spades,10 of Hearts,K of Clubs,5 of Diamonds,8 of Clubs,6 of Diamonds,4 of Hearts,10 of Diamonds,J of Hearts,4 of Diamonds,4 of Spades,6 of Hearts,Q of Clubs,2 of Hearts
257,7 of Spades,K of Spades,2 of Clubs,8 of Spades,8 of Hearts,3 of Clubs,8 of Clubs,9 of Diamonds,10 of Hearts,5 of Clubs,K of Clubs,K of Diamonds,4 of Clubs,2 of Spades,9 of Clubs
258,K of Diamonds,9 of Hearts,2 of Hearts,A of Hearts,A of Clubs,J of Diamonds,5 of Spades,7 of Hearts,5 of Hearts,5 of Diamonds,A of Spades,6 of Hearts,7 of Spades,7 of Clubs,3 of Spades
259,5 of Clubs,2 of Diamonds,9 of Spades,Q of Hearts,4 of Hearts,3 of Diamonds,3 of Hearts,4 of Diamonds,6 of Clubs,8 of Diamonds,A of Spades,4 of Spades,3 of Spades,A of Clubs,7 of Spades
260,A of Spades,8 of Hearts,4 of Diamonds,Q of Diamonds,7 of Clubs,2 of Diamonds,8 of Diamonds,4 of Hearts,3 of Diamonds,J of Clubs,8 of Clubs,9 of Diamonds,A of Hearts,K of Clubs,Q of Hearts
261,K of Hearts,8 of Clubs,Q of Clubs,6 of Hearts,Q of Diamonds,2 of Hearts,J of Spades,9 of Hearts,2 of Spades,7 of Diamonds,10 of Hearts,5 of Clubs,7 of Clubs,4 of Hearts,2 of Clubs
262,2 of Spades,8 of Clubs,10 of Clubs,6 of Spades,9 of Diamonds,6 of Hearts,2 of Hearts,7 of Clubs,Q of Spades,Q of Diamonds,A of Diamonds,2 of Diamonds,A of Spades,7 of Spades,J of Diamonds
263,8 of Clubs,K of Spades,5 of Spades,3 of Clubs,K of Clubs,9 of Diamonds,4 of Diamonds,9 of Spades,9 of Clubs,J of Hearts,10 of Diamonds,3 of Diamonds,7 of Clubs,8 of Spades,4 of Hearts
264,4 of Hearts,J of Hearts,9 of Hearts,2 of Hearts,5 of Diamonds,10 of Hearts,3 of Diamonds,9 of Spades,K of Clubs,7 of Hearts,A of Hearts,5 of Clubs,6 of Clubs,8 of Spades,7 of Clubs
265,7 of Hearts,A of Hearts,4 of Diamonds,8 of Clubs,2 of Spades,3 of Diamonds,9 of Hearts,A of Diamonds,6 of Spades,4 of Clubs,4 of Hearts,Q of Spades,5 of Hearts,J of Hearts,8 of Diamonds
266,Q of Diamonds,3 of Spades,8 of Spades,5 of Diamonds,8 of Hearts,Q of Spades,5 of Hearts,7 of Clubs,5 of Clubs,9 of Clubs,5 of Spades,4 of Spades,10 of Clubs,2 of Hearts,10 of Hearts
267,A of Clubs,Q of Diamonds,6 of Diamonds,4 of Clubs,8 of Hearts,5 of Hearts,3 of Clubs,7 of Spades,6 of Hearts,5 of Clubs,9 of Hearts,2 of Diamonds,J of Spades,4 of Hearts,Q of Hearts
268,K of Spades,10 of Diamonds,A of Clubs,10 of Spades,5 of Spades,6 of Spades,4 of Hearts,5 of Clubs,3 of Diamonds,8 of Hearts,Q of Diamonds,Q of Hearts,9 of Clubs,3 of Clubs,A of Diamonds
269,J of Diamonds,A of Hearts,4 of Spades,10 of Diamonds,9 of Clubs,5 of Hearts,2 of Clubs,Q of Spades,7 of Spades,2 of Spades,5 of Spades,8 of Diamonds,K of Spades,A of Clubs,J of Spades
270,J of Diamonds,6 of Spades,8 of Hearts,2 of Clubs,A of Clubs,6 of Clubs,8 of Spades,A of Hearts,2 of Hearts,5 of Hearts,3 of Clubs,6 of Diamonds,9 of Diamonds,4 of Hearts,4 of Clubs
271,K of Clubs,9 of Clubs,7 of Hearts,3 of Spades,Q of Spades,6 of Diamonds,9 of Spades,2 of Diamonds,3 of Hearts,7 of Diamonds,A of Clubs,A of Spades,10 of Hearts,10 of Spades,A of Diamonds
272,3 of Spades,Q of Diamonds,2 of Hearts,J of Hearts,4 of Clubs,7 of Diamonds,4 of Hearts,9 of Diamonds,4 of Diamonds,3 of Diamonds,6 of Diamonds,K of Diamonds,A of Diamonds,8 of Spades,Q of Clubs
273,J of Hearts,2 of Spades,3 of Diamonds,9 of Hearts,2 of Hearts,Q of Diamonds,6 of Hearts,10 of Spades,7 of Clubs,8 of Diamonds,J of Diamonds,2 of Diamonds,7 of Spades,K of Diamonds,4 of Spades
274,7 of Spades,10 of Spades,5 of Clubs,Q of Hearts,K of Spades,6 of Spades,10 of Hearts,J of Hearts,6 of Clubs,8 of Spades,2 of Diamonds,7 of Clubs,2 of Clubs,8 of Clubs,3 of Spades
275,10 of Spades,5 of Diamonds,K of Hearts,2 of Hearts,6 of Spades,Q of Spades,J of Diamonds,Q of Hearts,7 of Diamonds,4 of Diamonds,A of Diamonds,3 of Clubs,7 of Clubs,A of Spades,K of Spades
276,K of Clubs,8 of Hearts,4 of Clubs,8 of Spades,2 of Hearts,3 of Spades,6 of Hearts,Q of Spades,7 of Spades,A of Diamonds,J of Diamonds,K of Spades,J of Spades,6 of Diamonds,2 of Clubs
277,9 of Spades,8 of Clubs,Q of Clubs,Q of Hearts,6 of Spades,3 of Clubs,10 of Hearts,8 of Diamonds,Q of Diamonds,4 of Diamonds,2 of Clubs,8 of Hearts,10 of Diamonds,6 of Hearts,8 of Spades
278,4 of Spades,7 of Clubs,4 of Clubs,6 of Diamonds,5 of Clubs,K of Spades,7 of Spades,4 of Diamonds,9 of Spades,8 of Hearts,Q of Hearts,9 of Hearts,5 of Spades,6 of Clubs,A of Clubs
279,2 of Diamonds,8 of Hearts,9 of Clubs,6 of Hearts,K of Clubs,4 of Clubs,K of Diamonds,3 of Clubs,4 of Hearts,8 of Spades,10 of Clubs,3 of Spades,7 of Hearts,9 of Spades,10 of Spades
280,9 of Spades,J of Clubs,A of Diamonds,7 of Spades,K of Diamonds,6 of Diamonds,Q of Clubs,4 of Diamonds,5 of Hearts,3 of Clubs,K of Spades,5 of Diamonds,5 of Spades,A of Clubs,2 of Spades
281,K of Spades,Q of Spades,9 of Spades,4 of Hearts,A of Diamonds,K of Clubs,J of Spades,10 of Spades,6 of Hearts,A of Hearts,7 of Clubs,10 of Hearts,6 of Spades,5 of Spades,6 of Clubs
282,4 of Hearts,K of Diamonds,3 of Diamonds,4 of Diamonds,A of Hearts,6 of Hearts,5 of Spades,Q of Clubs,8 of Diamonds,8 of Clubs,Q of Spades,2 of Clubs,10 of Diamonds,5 of Clubs,6 of Spades
283,8 of Hearts,10 of Spades,5 of Clubs,4 of Diamonds,9 of Hearts,10 of Clubs,9 of Clubs,2 of Clubs,A of Spades,3 of Spades,4 of Hearts,K of Diamonds,7 of Hearts,4 of Spades,Q of Spades
284,4 of Spades,4 of Hearts,2 of Diamonds,Q of Spades,3 of Diamonds,9 of Hearts,6 of Clubs,10 of Diamonds,A of Clubs,9 of Diamonds,7 of Diamonds,A of Diamonds,8 of Spades,6 of Spades,J of Hearts
285,5 of Diamonds,2 of Hearts,2 of Clubs,5 of Spades,10 of Diamonds,7 of Clubs,Q of Hearts,7 of Diamonds,9 of Clubs,2 of Spades,2 of Diamonds,4 of Hearts,6 of Hearts,A of Spades,K of Clubs
286,7 of Clubs,5 of Spades,2 of Spades,J of Clubs,6 of Diamonds,2 of Diamonds,3 of Diamonds,6 of Spades,A of Clubs,6 of Hearts,9 of Clubs,Q of Clubs,Q of Hearts,3 of Clubs,7 of Diamonds
287,A of Spades,8 of Diamonds,J of Diamonds,Q of Clubs,3 of Clubs,7 of Diamonds,J of Spades,Q of Spades,8 of Spades,9 of Clubs,5 of Hearts,2 of Diamonds,10 of Hearts,4 of Diamonds,Q of Hearts
288,6 of Hearts,10 of Hearts,Q of Diamonds,6 of Diamonds,5 of Hearts,5 of Spades,6 of Clubs,8 of Clubs,10 of Clubs,7 of Spades,A of Clubs,8 of Hearts,2 of Hearts,5 of Clubs,K of Clubs
289,2 of Clubs,6 of Diamonds,9 of Diamonds,7 of Clubs,Q of Hearts,K of Diamonds,8 of Clubs,3 of Hearts,10 of Clubs,8 of Hearts,J of Clubs,4 of Spades,4 of Hearts,7 of Spades,Q of Diamonds
290,2 of Spades,6 of Spades,4 of Clubs,6 of Hearts,9 of Spades,2 of Hearts,K of Diamonds,K of Spades,5 of Spades,7 of Hearts,Q of Diamonds,4 of Diamonds,J of Diamonds,6 of Diamonds,3 of Spades
291,2 of Spades,A of Spades,8 of Spades,3 of Hearts,K of Spades,K of Diamonds,Q of Spades,7 of Diamonds,8 of Clubs,J of Hearts,J of Clubs,Q of Hearts,4 of Clubs,8 of Diamonds,6 of Diamonds
292,K of Spades,7 of Clubs,4 of Hearts,Q of Clubs,3 of Diamonds,K of Hearts,7 of Diamonds,5 of Spades,2 of Diamonds,A of Clubs,8 of Clubs,A of Hearts,J of Clubs,10 of Spades,6 of Hearts
293,10 of Diamonds,3 of Clubs,J of Hearts,A of Diamonds,6 of Diamonds,7 of Spades,10 of Spades,7 of Diamonds,9 of Spades,J of Diamonds,A of Clubs,J of Spades,4 of Diamonds,10 of Hearts,2 of Hearts
294,A of Hearts,7 of Diamonds,4 of Diamonds,Q of Spades,A of Spades,3 of Diamonds,K of Hearts,9 of Diamonds,4 of Spades,3 of Hearts,3 of Spades,10 of Clubs,7 of Hearts,7 of Clubs,Q of Diamonds
295,2 of Diamonds,9 of Clubs,6 of Hearts,5 of Clubs,J of Clubs,Q of Diamonds,4 of Clubs,2 of Spades,4 of Hearts,10 of Spades,4 of Diamonds,A of Diamonds,K of Diamonds,A of Hearts,Q of Spades
296,6 of Clubs,5 of Diamonds,9 of Hearts,6 of Spades,9 of Diamonds,K of Diamonds,A of Spades,2 of Hearts,6 of Diamonds,7 of Hearts,J of Hearts,3 of Clubs,J of Diamonds,A of Clubs,10 of Spades
297,7 of Spades,J of Spades,10 of Hearts,Q of Diamonds,10 of Spades,2 of Clubs,3 of Hearts,8 of Spades,5 of Spades,8 of Hearts,6 of Spades,7 of Clubs,10 of Clubs,3 of Diamonds,2 of Hearts
298,6 of Hearts,8 of Clubs,A of Spades,K of Diamonds,J of Clubs,5 of Hearts,J of Hearts,Q of Spades,K of Clubs,10 of Spades,2 of Clubs,3 of Spades,A of Hearts,10 of Diamonds,3 of Clubs
299,A of Diamonds,K of Diamonds,6 of Clubs,A of Spades,10 of Spades,4 of Spades,9 of Diamonds,3 of Diamonds,8 of Clubs,9 of Clubs,J of Spades,Q of Hearts,6 of Spades,2 of Spades,10 of Clubs
300,9 of Clubs,K of Hearts,6 of Diamonds,3 of Spades,J of Diamonds,4 of Spades,K of Spades,4 of Clubs,5 of Clubs,A of Clubs,6 of Clubs,9 of Hearts,2 of Hearts,A of Diamonds,J of Spades
301,3 of Spades,A of Spades,6 of Hearts,7 of Hearts,K of Clubs,5 of Diamonds,4 of Clubs,7 of Diamonds,3 of Hearts,5 of Spades,7 of Spades,A of Hearts,8 of Hearts,10 of Hearts,3 of Diamonds
302,Q of Clubs,6 of Hearts,Q of Spades,8 of Diamonds,5 of Clubs,J of Clubs,2 of Diamonds,10 of Spades,10 of Clubs,9 of Hearts,7 of Diamonds,7 of Hearts,6 of Clubs,6 of Diamonds,J of Diamonds
303,4 of Diamonds,6 of Clubs,7 of Spades,K of Diamonds,9 of Clubs,2 of Clubs,4 of Hearts,8 of Clubs,5 of Spades,5 of Hearts,8 of Hearts,3 of Clubs,J of Clubs,10 of Clubs,10 of Hearts
304,9 of Clubs,6 of Hearts,10 of Clubs,Q of Spades,K of Spades,6 of Diamonds,J of Spades,Q of Hearts,Q of Clubs,10 of Diamonds,A of Hearts,K of Hearts,K of Clubs,8 of Clubs,2 of Hearts
305,7 of Clubs,10 of Diamonds,8 of Hearts,7 of Spades,K of Diamonds,Q of Hearts,J of Hearts,2 of Hearts,J of Diamonds,5 of Clubs,4 of Hearts,K of Clubs,Q of Diamonds,6 of Hearts,7 of Diamonds
306,10 of Hearts,A of Hearts,4 of Hearts,6 of Hearts,2 of Diamonds,2 of Hearts,2 of Spades,Q of Spades,5 of Spades,Q of Hearts,4 of Spades,6 of Diamonds,J of Diamonds,5 of Clubs,2 of Clubs
307,4 of Diamonds,9 of Spades,3 of Clubs,3 of Spades,9 of Diamonds,8 of Diamonds,Q of Hearts,A of Hearts,7 of Clubs,10 of Spades,A of Diamonds,J of Spades,K of Hearts,3 of Hearts,Q of Clubs
308,10 of Clubs,7 of Clubs,3 of Diamonds,10 of Spades,A of Spades,9 of Spades,6 of Hearts,3 of Spades,2 of Diamonds,J of Spades,7 of Diamonds,5 of Hearts,9 of Clubs,6 of Spades,7 of Hearts
309,4 of Clubs,7 of Hearts,3 of Clubs,6 of Spades,7 of Diamonds,6 of Diamonds,3 of Spades,J of Diamonds,K of Hearts,5 of Hearts,9 of Diamonds,9 of Spades,10 of Spades,K of Clubs,Q of Diamonds
310,7 of Clubs,J of Diamonds,5 of Diamonds,Q of Clubs,2 of Clubs,Q of Hearts,5 of Hearts,10 of Clubs,K of Clubs,7 of Spades,J of Spades,K of Hearts,9 of Hearts,3 of Spades,Q of Diamonds
311,2 of Diamonds,8 of Clubs,J of Spades,5 of Clubs,7 of Spades,J of Clubs,10 of Clubs,10 of Diamonds,9 of Diamonds,J of Hearts,2 of Hearts,A of Diamonds,5 of Spades,Q of Spades,3 of Hearts
312,5 of Diamonds,K of Spades,9 of Diamonds,Q of Diamonds,J of Hearts,4 of Spades,Q of Spades,7 of Spades,8 of Diamonds,A of Diamonds,10 of Spades,6 of Hearts,4 of Diamonds,2 of Spades,7 of Diamonds
313,4 of Clubs,6 of Clubs,A of Clubs,8 of Hearts,10 of Clubs,10 of Spades,Q of Spades,4 of Diamonds,4 of Hearts,9 of Spades,10 of Hearts,J of Diamonds,J of Clubs,5 of Clubs,9 of Hearts
314,10 of Hearts,3 of Diamonds,5 of Hearts,3 of Clubs,8 of Hearts,2 of Diamonds,2 of Clubs,7 of Diamonds,10 of Diamonds,4 of Hearts,3 of Spades,7 of Clubs,J of Hearts,J of Diamonds,2 of Hearts
315,2 of Spades,6 of Clubs,5 of Hearts,A of Hearts,5 of Diamonds,K of Hearts,6 of Diamonds,9 of Clubs,3 of Spades,8 of Clubs,5 of Clubs,A of Clubs,K of Diamonds,8 of Hearts,A of Diamonds
316,3 of Clubs,7 of Hearts,6 of Clubs,J of Spades,5 of Spades,4 of Diamonds,4 of Hearts,K of Hearts,Q of Hearts,7 of Diamonds,3 of Hearts,6 of Spades,10 of Spades,6 of Diamonds,5 of Clubs
317,J of Diamonds,9 of Hearts,9 of Diamonds,Q of Hearts,6 of Diamonds,9 of Spades,2 of Hearts,6 of Hearts,7 of Hearts,3 of Hearts,2 of Clubs,8 of Spades,3 of Spades,6 of Spades,4 of Diamonds
318,6 of Spades,7 of Diamonds,8 of Hearts,7 of Spades,4 of Spades,4 of Hearts,6 of Diamonds,K of Diamonds,10 of Hearts,3 of Hearts,Q of Clubs,5 of Diamonds,J of Hearts,5 of Spades,9 of Spades
319,10 of Spades,J of Hearts,7 of Diamonds,9 of Diamonds,8 of Diamonds,A of Diamonds,Q of Spades,J of Clubs,4 of Spades,3 of Hearts,4 of Hearts,Q of Hearts,7 of Hearts,A of Clubs,4 of Clubs
320,9 of Hearts,3 of Diamonds,5 of Spades,10 of Clubs,6 of Spades,A of Clubs,7 of Spades,8 of Spades,7 of Diamonds,4 of Spades,K of Diamonds,9 of Spades,9 of Diamonds,4 of Clubs,A of Spades
321,6 of Hearts,2 of Diamonds,3 of Clubs,Q of Diamonds,4 of Clubs,4 of Spades,J of Diamonds,9 of Hearts,6 of Clubs,7 of Spades,K of Spades,2 of Spades,10 of Diamonds,A of Clubs,A of Diamonds
322,6 of Hearts,2 of Clubs,6 of Clubs,Q of Hearts,K of Diamonds,4 of Diamonds,8 of Spades,6 of Diamonds,Q of Spades,A of Clubs,Q of Diamonds,4 of Spades,8 of Hearts,10 of Spades,7 of Clubs
323,6 of Hearts,8 of Clubs,5 of Spades,2 of Hearts,7 of Hearts,3 of Clubs,4 of Spades,A of Clubs,10 of Clubs,3 of Hearts,A of Hearts,4 of Hearts,6 of Diamonds,9 of Hearts,10 of Spades
324,10 of Spades,9 of Spades,7 of Clubs,5 of Spades,8 of Diamonds,Q of Spades,9 of Hearts,J of Hearts,3 of Diamonds,6 of Spades,10 of Hearts,9 of Diamonds,Q of Hearts,2 of Diamonds,A of Diamonds
325,10 of Spades,3 of Clubs,Q of Spades,7 of Clubs,Q of Hearts,6 of Spades,8 of Diamonds,3 of Diamonds,A of Spades,5 of Spades,J of Diamonds,2 of Diamonds,4 of Clubs,8 of Hearts,5 of Hearts
326,A of Clubs,J of Spades,K of Clubs,9 of Diamonds,4 of Spades,J of Hearts,Q of Clubs,7 of Diamonds,Q of Hearts,3 of Clubs,5 of Clubs,7 of Hearts,Q of Spades,6 of Spades,9 of Clubs
327,10 of Clubs,K of Clubs,K of Diamonds,8 of Spades,4 of Spades,4 of Diamonds,6 of Diamonds,3 of Diamonds,9 of Hearts,9 of Diamonds,A of Clubs,5 of Diamonds,3 of Spades,A of Spades,K of Spades
328,K of Clubs,9 of Spades,9 of Diamonds,9 of Hearts,J of Clubs,2 of Spades,8 of Diamonds,5 of Hearts,3 of Clubs,Q of Hearts,10 of Spades,8 of Clubs,2 of Hearts,K of Hearts,Q of Clubs
329,J of Clubs,9 of Diamonds,Q of Diamonds,9 of Spades,Q of Clubs,Q of Hearts,4 of Hearts,2 of Diamonds,5 of Hearts,A of Spades,J of Hearts,8 of Diamonds,2 of Hearts,6 of Hearts,10 of Diamonds
330,10 of Diamonds,Q of Spades,Q of Hearts,J of Clubs,2 of Hearts,10 of Clubs,5 of Clubs,6 of Diamonds,2 of Diamonds,8 of Hearts,8 of Spades,7 of Hearts,7 of Spades,9 of Hearts,6 of Spades
331,2 of Clubs,4 of Diamonds,9 of Diamonds,7 of Spades,7 of Diamonds,4 of Hearts,Q of Spades,A of Hearts,10 of Diamonds,A of Spades,9 of Hearts,J of Spades,A of Clubs,5 of Spades,6 of Spades
332,7 of Clubs,K of Clubs,4 of Clubs,6 of Diamonds,J of Clubs,9 of Hearts,Q of Diamonds,3 of Hearts,5 of Clubs,7 of Hearts,J of Hearts,A of Spades,A of Hearts,Q of Clubs,2 of Clubs
333,6 of Spades,6 of Clubs,9 of Spades,6 of Hearts,2 of Diamonds,6 of Diamonds,3 of Diamonds,10 of Clubs,8 of Hearts,3 of Hearts,5 of Hearts,7 of Diamonds,K of Hearts,Q of Hearts,8 of Spades
334,K of Hearts,3 of Hearts,6 of Spades,7 of Diamonds,K of Diamonds,J of Spades,Q of Spades,9 of Spades,10 of Spades,3 of Diamonds,A of Clubs,4 of Clubs,9 of Clubs,Q of Hearts,J of Diamonds
335,2 of Clubs,2 of Hearts,8 of Clubs,2 of Spades,Q of Spades,6 of Diamonds,J of Hearts,5 of Hearts,8 of Spades,4 of Diamonds,K of Diamonds,9 of Hearts,10 of Diamonds,9 of Clubs,J of Spades
336,A of Hearts,10 of Diamonds,K of Spades,5 of Hearts,2 of Spades,A of Diamonds,7 of Spades,J of Diamonds,J of Clubs,J of Spades,8 of Hearts,K of Clubs,2 of Diamonds,5 of Diamonds,A of Clubs
337,K of Spades,A of Hearts,Q of Spades,9 of Diamonds,4 of Diamonds,A of Diamonds,8 of Hearts,9 of Spades,10 of Clubs,6 of Spades,2 of Hearts,A of Clubs,J of Spades,4 of Hearts,3 of Clubs
338,Q of Spades,8 of Spades,Q of Clubs,4 of Hearts,6 of Hearts,K of Clubs,K of Hearts,8 of Hearts,6 of Clubs,2 of Spades,J of Spades,10 of Clubs,2 of Diamonds,10 of Spades,8 of Diamonds
339,3 of Clubs,K of Spades,A of Diamonds,A of Spades,9 of Diamonds,3 of Spades,2 of Hearts,10 of Spades,J of Spades,5 of Diamonds,Q of Hearts,4 of Diamonds,10 of Diamonds,10 of Hearts,7 of Hearts
340,2 of Diamonds,10 of Diamonds,5 of Clubs,Q of Hearts,J of Spades,A of Clubs,6 of Diamonds,Q of Diamonds,K of Spades,6 of Hearts,A of Diamonds,6 of Spades,6 of Clubs,A of Spades,9 of Spades
341,8 of Hearts,K of Spades,8 of Spades,J of Hearts,9 of Hearts,K of Diamonds,7 of Spades,7 of Clubs,3 of Spades,J of Spades,J of Clubs,2 of Clubs,5 of Hearts,8 of Diamonds,5 of Diamonds
342,5 of Spades,9 of Spades,J of Clubs,2 of Spades,7 of Spades,A of Clubs,9 of Diamonds,3 of Spades,10 of Clubs,Q of Hearts,K of Clubs,J of Spades,Q of Spades,Q of Clubs,2 of Clubs
343,8 of Hearts,2 of Clubs,5 of Hearts,10 of Clubs,2 of Hearts,J of Diamonds,K of Clubs,3 of Diamonds,J of Clubs,5 of Diamonds,4 of Diamonds,7 of Hearts,Q of Hearts,7 of Clubs,J of Spades
344,6 of Hearts,Q of Spades,9 of Spades,5 of Clubs,9 of Clubs,3 of Clubs,K of Spades,A of Diamonds,9 of Diamonds,Q of Diamonds,J of Hearts,6 of Diamonds,A of Spades,3 of Diamonds,2 of Spades
345,5 of Diamonds,3 of Clubs,3 of Diamonds,2 of Spades,J of Clubs,J of Spades,2 of Hearts,2 of Diamonds,9 of Clubs,10 of Clubs,K of Hearts,K of Diamonds,9 of Diamonds,10 of Diamonds,Q of Spades
346,3 of Diamonds,2 of Spades,4 of Clubs,3 of Spades,5 of Spades,10 of Clubs,Q of Hearts,7 of Clubs,6 of Diamonds,A of Spades,5 of Hearts,6 of Spades,J of Spades,J of Diamonds,K of Diamonds
347,10 of Diamonds,K of Diamonds,Q of Diamonds,9 of Diamonds,K of Clubs,2 of Diamonds,9 of Clubs,10 of Spades,J of Clubs,4 of Spades,10 of Clubs,8 of Hearts,8 of Diamonds,2 of Clubs,Q of Hearts
348,9 of Diamonds,K of Hearts,A of Hearts,5 of Clubs,Q of Spades,7 of Diamonds,J of Hearts,A of Spades,3 of Spades,10 of Hearts,5 of Spades,7 of Clubs,4 of Clubs,6 of Spades,3 of Diamonds
349,10 of Hearts,7 of Spades,2 of Hearts,3 of Hearts,6 of Clubs,J of Clubs,Q of Spades,4 of Hearts,7 of Clubs,K of Diamonds,3 of Spades,5 of Hearts,Q of Clubs,J of Diamonds,4 of Diamonds
350,K of Diamonds,7 of Spades,4 of Spades,10 of Clubs,3 of Hearts,8 of Clubs,10 of Spades,5 of Hearts,10 of Diamonds,5 of Diamonds,9 of Diamonds,A of Clubs,2 of Spades,A of Spades,8 of Hearts
351,J of Clubs,Q of Hearts,8 of Hearts,6 of Hearts,7 of Spades,7 of Diamonds,Q of Diamonds,J of Spades,3 of Diamonds,4 of Spades,K of Clubs,A of Hearts,A of Diamonds,7 of Hearts,9 of Clubs
352,K of Diamonds,10 of Spades,4 of Spades,5 of Spades,A of Spades,9 of Clubs,8 of Clubs,2 of Hearts,8 of Diamonds,K of Hearts,J of Clubs,5 of Clubs,7 of Spades,A of Clubs,K of Clubs
353,8 of Hearts,9 of Diamonds,3 of Diamonds,9 of Hearts,7 of Hearts,K of Clubs,J of Hearts,2 of Diamonds,7 of Clubs,2 of Hearts,K of Diamonds,5 of Diamonds,6 of Spades,6 of Diamonds,9 of Spades
354,K of Spades,8 of Hearts,Q of Spades,10 of Hearts,7 of Diamonds,2 of Hearts,K of Hearts,9 of Spades,Q of Diamonds,2 of Spades,10 of Diamonds,2 of Diamonds,5 of Diamonds,6 of Hearts,8 of Spades
355,3 of Spades,4 of Hearts,6 of Spades,J of Diamonds,K of Spades,J of Hearts,K of Clubs,5 of Hearts,9 of Diamonds,3 of Diamonds,4 of Spades,Q of Spades,2 of Clubs,4 of Clubs,A of Hearts
356,Q of Clubs,8 of Hearts,7 of Hearts,2 of Spades,2 of Diamonds,5 of Hearts,2 of Hearts,5 of Spades,7 of Diamonds,7 of Clubs,6 of Diamonds,K of Clubs,J of Clubs,Q of Spades,9 of Spades
357,8 of Hearts,3 of Hearts,A of Spades,4 of Hearts,4 of Clubs,8 of Diamonds,K of Hearts,2 of Hearts,Q of Clubs,10 of Hearts,9 of Diamonds,J of Clubs,A of Hearts,9 of Spades,6 of Diamonds
358,4 of Spades,5 of Hearts,J of Clubs,A of Clubs,9 of Hearts,10 of Hearts,4 of Clubs,J of Diamonds,K of Clubs,6 of Hearts,2 of Diamonds,3 of Hearts,7 of Diamonds,A of Diamonds,5 of Spades
